Date : 2026-05-17 22:48:49
Directory : /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib
Total : 89 files,  3307 codes, 563 comments, 646 blanks, all 4516 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |         86 |      3,118 |        563 |        646 |      4,327 |
| JSON     |          3 |        189 |          0 |          0 |        189 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                    | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                       |         89 |      3,307 |        563 |        646 |      4,516 |
| . (Files)                                                                                                                               |          1 |         57 |          6 |         10 |         73 |
| application                                                                                                                             |         18 |        215 |         69 |         71 |        355 |
| application/favorites                                                                                                                   |          4 |         46 |         15 |         16 |         77 |
| application/preferences                                                                                                                 |         10 |        130 |         40 |         41 |        211 |
| application/quotes                                                                                                                      |          4 |         39 |         14 |         14 |         67 |
| core                                                                                                                                    |         12 |        451 |        170 |        117 |        738 |
| core/failures                                                                                                                           |          1 |         13 |          8 |          7 |         28 |
| core/l10n                                                                                                                               |          7 |        368 |        133 |         85 |        586 |
| core/l10n (Files)                                                                                                                       |          3 |        189 |          0 |          0 |        189 |
| core/l10n/generated                                                                                                                     |          4 |        179 |        133 |         85 |        397 |
| core/routes                                                                                                                             |          2 |         24 |          4 |          8 |         36 |
| core/theme                                                                                                                              |          2 |         46 |         25 |         17 |         88 |
| data                                                                                                                                    |         19 |        532 |        113 |        127 |        772 |
| data/data_objects                                                                                                                       |          3 |        104 |         55 |         41 |        200 |
| data/data_sources                                                                                                                       |          8 |        254 |         31 |         48 |        333 |
| data/repositories_impl                                                                                                                  |          8 |        174 |         27 |         38 |        239 |
| domain                                                                                                                                  |          8 |         85 |         38 |         25 |        148 |
| domain/entities                                                                                                                         |          4 |         49 |         14 |         13 |         76 |
| domain/repositories                                                                                                                     |          4 |         36 |         24 |         12 |         72 |
| infrastructure                                                                                                                          |         14 |        909 |         92 |        158 |      1,159 |
| infrastructure/api_client                                                                                                               |         10 |        644 |         58 |        112 |        814 |
| infrastructure/api_client (Files)                                                                                                       |          4 |        138 |         20 |         23 |        181 |
| infrastructure/api_client/dio                                                                                                           |          4 |        489 |         28 |         80 |        597 |
| infrastructure/api_client/models                                                                                                        |          2 |         17 |         10 |          9 |         36 |
| infrastructure/storage                                                                                                                  |          4 |        265 |         34 |         46 |        345 |
| infrastructure/storage (Files)                                                                                                          |          3 |         66 |         26 |         26 |        118 |
| infrastructure/storage/shared_preferences                                                                                               |          1 |        199 |          8 |         20 |        227 |
| presentation                                                                                                                            |         17 |      1,058 |         75 |        138 |      1,271 |
| presentation/providers                                                                                                                  |          8 |        214 |         30 |         51 |        295 |
| presentation/providers/crypto_quote                                                                                                     |          2 |         38 |          5 |          9 |         52 |
| presentation/providers/favorites                                                                                                        |          2 |         56 |         10 |         13 |         79 |
| presentation/providers/klines                                                                                                           |          2 |         48 |          7 |         13 |         68 |
| presentation/providers/preferences                                                                                                      |          2 |         72 |          8 |         16 |         96 |
| presentation/screens                                                                                                                    |          9 |        844 |         45 |         87 |        976 |
| presentation/screens/detail                                                                                                             |          1 |        270 |         11 |         22 |        303 |
| presentation/screens/home                                                                                                               |          7 |        453 |         31 |         51 |        535 |
| presentation/screens/home (Files)                                                                                                       |          1 |         54 |          3 |          4 |         61 |
| presentation/screens/home/tabs                                                                                                          |          2 |        111 |          8 |         17 |        136 |
| presentation/screens/home/widgets                                                                                                       |          4 |        288 |         20 |         30 |        338 |
| presentation/screens/preferences                                                                                                        |          1 |        121 |          3 |         14 |        138 |
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/application/favorites/get_favorites_usecase.dart                       | Dart     |         10 |          5 |          4 |         19 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/application/favorites/get_favorites_usecase_di.dart                    | Dart     |          7 |          1 |          3 |         11 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/application/favorites/toggle_favorite_usecase.dart                     | Dart     |         22 |          8 |          6 |         36 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/application/favorites/toggle_favorite_usecase_di.dart                  | Dart     |          7 |          1 |          3 |         11 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/application/preferences/get_preferences_usecase.dart                   | Dart     |         10 |          6 |          4 |         20 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/application/preferences/get_preferences_usecase_di.dart                | Dart     |          7 |          1 |          3 |         11 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/application/preferences/save_preferences_usecase.dart                  | Dart     |         10 |          5 |          4 |         19 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/application/preferences/save_preferences_usecase_di.dart               | Dart     |          9 |          1 |          3 |         13 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/application/preferences/update_darkmode_preferences_usecase.dart       | Dart     |         21 |          8 |          6 |         35 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/application/preferences/update_darkmode_preferences_usecase_di.dart    | Dart     |         10 |          1 |          3 |         14 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/application/preferences/update_fontscale_usecase.dart                  | Dart     |         21 |          8 |          6 |         35 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/application/preferences/update_fontscale_usecase_di.dart               | Dart     |         11 |          1 |          3 |         15 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/application/preferences/update_locale_usecase.dart                     | Dart     |         21 |          8 |          6 |         35 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/application/preferences/update_locale_usecase_di.dart                  | Dart     |         10 |          1 |          3 |         14 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/application/quotes/get_crypto_quotes_usecase.dart                      | Dart     |         10 |          6 |          4 |         20 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/application/quotes/get_crypto_quotes_usecase_di.dart                   | Dart     |          9 |          1 |          3 |         13 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/application/quotes/get_klines_usecase.dart                             | Dart     |         13 |          6 |          4 |         23 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/application/quotes/get_klines_usecase_di.dart                          | Dart     |          7 |          1 |          3 |         11 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/core/failures/failures.dart                                            | Dart     |         13 |          8 |          7 |         28 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/core/l10n/app_en.arb                                                   | JSON     |         63 |          0 |          0 |         63 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/core/l10n/app_es.arb                                                   | JSON     |         63 |          0 |          0 |         63 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/core/l10n/app_pt.arb                                                   | JSON     |         63 |          0 |          0 |         63 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/core/l10n/generated/app_localizations.dart                             | Dart     |         74 |        124 |         31 |        229 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/core/l10n/generated/app_localizations_en.dart                          | Dart     |         35 |          3 |         18 |         56 |
